,Previous Night Sleep Duration (int),Broken Sleep? (bool),Breakfast? (bool),Morning Routine? (bool),Used ToDo List? (bool),Social? (0-2),External Stress (0-5),Day Physical Activity (5 scale),Nap? (bool),Read? (bool),Gym? (bool),Fast Food? (bool),Caffeine (0-2),Alcohol (0-2),Time Spent in Focused Environment (hours) 0.5 rounded,Screen Time (hours) 0.5 rounded,End of Day Productivity (0-10),DayOfWeek_Fri,DayOfWeek_Mon,DayOfWeek_Sat,DayOfWeek_Sun,DayOfWeek_Thu,DayOfWeek_Tue,DayOfWeek_Wed
74,7.0,True,True,True,False,2.0,3.0,3.0,True,False,False,False,0.0,0.0,2.0,3.0,3.5,False,False,False,False,False,False,True
75,7.5,True,True,True,False,1.5,2.0,3.0,True,False,True,False,0.0,0.0,4.0,7.0,6.5,False,False,False,False,True,False,False
76,7.5,False,True,True,False,2.0,2.0,2.0,False,False,False,False,0.5,0.0,4.0,4.0,3.0,True,False,False,False,False,False,False
77,6.5,False,True,True,False,2.0,1.5,2.5,True,False,False,False,0.0,0.0,2.0,4.5,4.0,False,False,True,False,False,False,False
78,8.0,False,True,True,False,1.0,1.5,3.0,False,False,True,False,0.0,0.0,3.0,7.0,6.0,False,False,False,True,False,False,False
79,7.5,False,False,True,False,2.0,2.0,1.5,False,False,False,False,0.5,0.0,9.0,5.5,6.5,False,True,False,False,False,False,False
80,7.0,False,False,True,False,1.5,2.0,3.0,False,False,True,False,1.0,0.0,8.0,8.0,6.5,False,False,False,False,False,True,False
81,7.0,True,False,False,False,2.0,2.0,1.5,True,False,False,False,0.0,1.0,0.0,4.0,2.0,False,False,False,False,False,False,True
82,4.0,False,True,True,False,1.5,2.5,2.0,False,True,False,True,0.5,0.0,6.0,7.0,7.0,False,False,False,False,True,False,False
83,10.0,True,False,True,False,2.0,1.5,1.5,False,False,False,False,0.0,1.0,4.0,5.0,5.0,True,False,False,False,False,False,False
84,8.0,True,True,True,False,2.0,3.0,1.5,False,True,False,False,0.0,0.5,2.0,5.5,3.0,False,False,True,False,False,False,False
85,8.0,False,False,True,False,1.0,1.5,3.0,False,False,True,True,0.0,0.0,2.0,9.0,4.0,False,False,False,True,False,False,False
86,7.0,True,True,True,False,1.0,2.5,1.5,False,False,False,False,1.0,0.0,11.0,5.0,8.0,False,True,False,False,False,False,False
87,7.0,False,True,False,False,1.5,2.5,1.5,False,False,False,False,0.0,0.0,9.0,5.5,7.0,False,False,False,False,False,True,False
88,8.5,True,False,True,False,1.0,2.0,1.5,True,False,False,False,0.0,0.5,7.0,6.0,8.0,False,False,False,False,False,False,True
89,9.0,True,False,False,False,1.0,2.0,3.0,False,False,True,False,0.0,0.0,6.0,8.0,6.0,False,False,False,False,True,False,False
90,7.0,False,True,True,False,2.0,3.0,1.5,False,False,False,False,1.0,0.0,2.0,6.0,5.0,True,False,False,False,False,False,False
