,Unnamed: 0,Unnamed: 1,7.176724138,0.4568965517,0.5,0.6574074074,0.09259259259,1.771028037,2.275700935,2.420560748,0.2056074766,0.1775700935,0.261682243,0.1308411215,0.3912037037,0.3009259259,3.644859813,5.588495575,5.14953271,Unnamed: 19
0,Date,Day of Week,Previous Night Sleep Duration (int),Broken Sleep? (bool),Breakfast? (bool),Morning Routine? (bool),Used ToDo List? (bool),Social? (0-2),External Stress (0-5),Day Physical Activity (5 scale),Nap? (bool),Read? (bool),Gym? (bool),Fast Food? (bool),Caffeine (0-2),Alcohol (0-2),Time Spent in Focused Environment (hours) 0.5 rounded,Screen Time (hours) 0.5 rounded,End of Day Productivity (0-10),Notes
103,7-3-2024,Thu,5.5,N,N,Y,N,1,2.5,3,N,N,Y,N,1,0,8,7.5,6.5,
104,8-3-2024,Fri,7,Y,N,Y,N,2,2.5,1.5,N,N,N,N,0,1,4,6,6,
105,9-3-2024,Sat,8,Y,Y,Y,N,2,2,1.5,N,N,N,Y,0,0,1,4,3,
106,10-3-2024,Sun,10,Y,Y,N,N,1.5,2,3,Y,N,Y,N,0,0,0,5,2,
107,11-3-2024,Mon,7.5,N,Y,Y,N,,,,,,,,,,,7.5,,
108,12-3-2024,Tue,7,N,N,,,,,,,,,,,,,3.5,,
109,13-3-2024,Wed,8,Y,,,,,,,,,,,,,,5.5,,
110,14-3-2024,Thu,8,Y,,,,,,,,,,,,,,6,,
111,15-3-2024,Fri,6.5,N,,,,,,,,,,,,,,5.5,,
112,16-3-2024,Sat,9,N,,,,,,,,,,,0,1.5,,6.5,,
113,17-3-2024,Sun,6.5,Y,Y,N,N,2,2.5,3.5,N,N,Y,N,0,0,1,5.5,3,
114,18-3-2024,Mon,7,N,N,,,,,,,,,,,,,,,
115,19-3-2024,Tue,6,N,,,,,,,,,,,,,,,,
116,20-3-2024,Wed,7,Y,,,,,,,,,,,,,,,,
117,21-3-2024,Thu,,,,,,,,,,,,,,,,,,
118,22-3-2024,Fri,,,,,,,,,,,,,,,,,,
119,23-3-2024,Sat,,,,,,,,,,,,,,,,,,
120,24-3-2024,Sun,,,,,,,,,,,,,,,,,,
121,25-3-2024,Mon,,,,,,,,,,,,,,,,,,
122,26-3-2024,Tue,,,,,,,,,,,,,,,,,,
123,27-3-2024,Wed,,,,,,,,,,,,,,,,,,
124,28-3-2024,Thu,,,,,,,,,,,,,,,,,,
125,29-3-2024,Fri,,,,,,,,,,,,,,,,,,
126,30-3-2024,Sat,,,,,,,,,,,,,,,,,,
127,31-3-2024,Sun,,,,,,,,,,,,,,,,,,
128,1-4-2024,Mon,,,,,,,,,,,,,,,,,,
129,,Tue,,,,,,,,,,,,,,,,,,
130,,Wed,,,,,,,,,,,,,,,,,,
131,,Thu,,,,,,,,,,,,,,,,,,
132,,Fri,,,,,,,,,,,,,,,,,,
133,,Sat,,,,,,,,,,,,,,,,,,
134,,Sun,,,,,,,,,,,,,,,,,,
135,,Mon,,,,,,,,,,,,,,,,,,
136,,Tue,,,,,,,,,,,,,,,,,,
137,,Wed,,,,,,,,,,,,,,,,,,
138,,Thu,,,,,,,,,,,,,,,,,,
139,,Fri,,,,,,,,,,,,,,,,,,
140,,Sat,,,,,,,,,,,,,,,,,,
141,,Sun,,,,,,,,,,,,,,,,,,
142,,Mon,,,,,,,,,,,,,,,,,,
143,,Tue,,,,,,,,,,,,,,,,,,
144,,Wed,,,,,,,,,,,,,,,,,,
145,,Thu,,,,,,,,,,,,,,,,,,
146,,Fri,,,,,,,,,,,,,,,,,,
147,,Sat,,,,,,,,,,,,,,,,,,
148,,Sun,,,,,,,,,,,,,,,,,,
149,,Mon,,,,,,,,,,,,,,,,,,
150,,Tue,,,,,,,,,,,,,,,,,,
151,,Wed,,,,,,,,,,,,,,,,,,
